ID|EventID|CompanyID|Booth|Date|Time|Hall|RoomNo|PresentCompany|Topic|Speaker|langID|OrderFull|OrderMob|InApplications
74|2466071|246607|10.3S01|2019.5.23|10:00-12:00|10.3|5|科萊恩|1. 科萊恩阻燃劑為電動汽車防火安全保駕護航 <br />2. 運輸系統和電動汽車聚合物穩定性技術的最新進展 <br />3. 科萊恩蠟粉在塑料加工成汽車部件過程中的加工高效性|1. 戴瑩瑩 女士 - 阻燃劑技術市場工程師 <br />2. 黃華隆 先生 - 大中華區工程塑膠聚合市場經理 <br />3. 毛亞琴 女士 - 先進表面解決方案亞太區技術經理|950|5|5|1,3
75|2421791|242179|10.2J41|2019.5.22|10:00-12:00|10.2|12|陶氏化學塑料添加劑業務|1. 柔性丙烯酸酯樹脂 <br />2. 用于 PVC 中新型加工助劑 <br />3. 其它新型塑料添加劑|1. Gergely Nagy 先生 - 全球業務總監 <br />2. Drake Ian 先生 - 研發, 技術總監 <br />3. 張輝 先生 - 亞太區技術服務經理|950|12|12|1,2,3,4,5,6
76|2470261|247026|9.2L17|2019.5.23|10:00-12:00|9.2|花城|美國駐廣州總領事館商務處|「美國日」塑料加工創新技術研討會|-|950|0|0|1,2,3,4,5,6
77|2421813|242181|11.2A41|2019.5.23|14:00-16:00|11.2|10|巴斯夫聚氨酯特種產品 (中國) 有限公司|1. Ultraform® 產品和工業應用介紹 <br />2. BASF PU 工業行業解決方案|1. 成海粟 先生 - 應用開發經理 <br />2. 汪紹禮 先生 - 技術銷售|950|10|10|1,2,3,4,5,6
78|2458851|245885||2019.5.21|10:00-12:00||10|沙特基礎工業公司|沙特基礎工業公司工程塑料方案在快速發展的電子和電氣行業中的應用|1. 宋武平 先生 - 高級研究員 <br />2. 楊春華 先生 - 研究員|950|10|10|3
79|2458852|245885||2019.5.21|14:00-16:00||10|沙特基礎工業公司|沙特基礎工業公司針對消費品應用的先進改性聚丙烯産品|葉鐵英 女士 - 研究員|950|10|10|3
80|2475661|247566||2019.5.21|10:00-12:00||2|中國石化|中國石化合成樹脂新產品新應用發佈會|-|950|2|2|1,2,3,4,5,6,999
81|2458853|245885||2019.5.22|10:00-12:00||10|沙特基礎工業公司|沙特基礎工業公司全面塑料方案以應對家電行業不斷變化的需求|1. 葉鐵英 女士 - 研究員 <br />2. 楊春華 先生 - 研究員|950|10|10|3
82|2476361|247636||2019.5.21|10:00-12:00||9|美國奧世達彈性體|TPE 包膠的優化解決方案|1. 俞弘強 先生 - 總經理 <br />2. 溫韶坤 先生 - 産品經理|950|9|9|1,3,4,999
83|2425611|242561|2.1R31|2019.5.22|14:00-16:00|2.1|花城|CPM 挤出集团|双螺杆挤出机高性能螺纹原料在高分子量聚乙烯中的优势, 及行星挤出机在新能源汽车轮胎橡胶领域的应用|Joerg Mayer-Lutz 先生 - 销售经理|936|0|0|1,5,999
84|2429941|242994|11.2L31|2019.5.22|10:00-12:00|11.2|9|可乐丽贸易 (上海) 有限公司|可乐丽对于 TPE 行业的解决方案: <br />1. 苯乙烯类热塑性弹性体 - SEPTON™ 的高分子量牌号 <br />2. 丙烯酸嵌段共聚物 - KURARITY™ 在表面保护膜的应用|-|936|9|9|1,2,3,4,5,6
85|2428821|242882|10.2G11|2019.5.22|14:00-16:00|10.2|11|1. 沙特基础工业公司 <br />2. 中国石油化工股份有限公司茂名分公司|1. 沙特基础建设公司于薄壁包装的专用解决方案 <br />2. 透明聚丙烯产品开发及应用|1. 张德辉 先生 - 薄壁包装市场开发及技术支援工程师 <br />2. 谭捷 先生 - 茂名石化研究院高级工程师|936|11|11|2
86|2433871|243387|10.2A61|2019.5.22|10:00-12:00|10.2|5|意慕利油脂化学|使用创新绿色添加剂, 改善我们的环境|1. Harald Klein 博士 - 全球部门主管, 塑料添加剂部 <br />2. Sascha Simon 博士 - 全球新业务开发主管, 塑料添加剂部 <br />3. Christian Mueller 博士 - 全球技术市场经理, 塑料添加剂部|936|5|5|1,2,4
87|2422141|242214|13.2E41|2019.5.22|14:00-16:00|13.2|12|顶塑企业|1. Topolymer TPE 在湿式止滑领域的创新应用 <br />2. Topolymer 生物基热塑性弹性体的创新解决方案|1. 邓正闰 先生 - R&D 经理 <br />2. 邬慧荣 先生 - R&D 经理|936|12|12|1,2,3,5,6
88|2421811|242181|11.2A41|2019.5.21|14:00-16:00|11.2|12|巴斯夫颜料 (上海) 有限公司|1. 突破颜色空间 - 由潘通 2019 年度色谈开…… <br />2. 新产品上线|1. 江冰 女士 - 亚太区资深商业管理经理 <br />2. 任青江 先生 - 亚太区技术管理经理|936|12|12|1,2,3,6
89|2440221|244022|11.2J15|2019.5.21|14:00-16:00|11.2|11|艾迪科 (中国) 投资有限公司|1. 成核剂及透明剂在 PP 热成型上的活用 <br />2. 关于高端无卤阻燃体系聚烯烃的无限可能 <br />3. 橡胶用增塑剂 - ADK CIZER RS 系列产品介绍|1. 清水 先生 - 技术工程师 <br />2. 横山 先生 - 技术工程师 <br />3. 仙石 先生 - 技术工程师|936|11|11|1,2,3,4,5
90|2428031|242803|9.2L01|2019.5.22|14:00-16:00|9.2|白云|法雷尔波米尼|连续混炼机在加工炭黑母料、包括导电炭黑方面的优势|何 先生 - 销售工程师|936|0|0|1,2,3,4,5,6
91|2463251|246325|9.3D39|2019.5.22|10:00-12:00|9.3|11|威海晨源分子新材料有限公司|新型树枝状大分子助剂在塑料中的应用|李武松 博士 - 总经理|936|11|11|1,2,3,999
92|2433111|243311|2.2E31|2019.5.22|10:00-12:00|2.2|白云|嘉善司倍克泵业有限公司|新形势下传统行业的工业 4.0 讨论|1. 车云杰 先生 - 业务经理 <br />2. 陈勇 先生 - 业务经理 (代理)|936|0|0|5,999
93|2423441|242344|10.2G21|2019.5.22|10:00-12:00|10.2|6|博禄私人有限公司|1. 创新解决方案构建更加灵活的塑料 <br />2. ANTEO™ 源于创新, 归于完美|1. 欧贤齐 先生 - 资深硬包方案开发工程师 <br />2. 禹庆凯 先生 - 资深软包方案开发工程师|936|6|6|2,999
94|2432011|243201|12.2B41|2019.5.22|14:00-16:00|12.2|1|晓星化学|1. 晓星化学 PP 越南工厂生产的新产品 <br />2. PP-R / PP-B 符合新的 GB/T 标准|-|936|1|1|1,2,3,4,5
95|2423442|242344|10.2G21|2019.5.22|14:00-16:00|10.2|6|博禄私人有限公司|用于未来管道基础设施的先进塑料解决方案|1. 陈会龙 先生 - 高级应用工程师 <br />2. 余新文 先生 - 高级应用工程师 <br />3. 方东宇 先生 - 市场经理|936|6|6|4,999
